,Fecha,Compra,Venta,E
199,2018-08-31,29.91818181818182,30.986363636363638,30.452272727272728
200,2018-09-30,37.505,39.205,38.355000000000004
201,2018-10-31,35.82727272727273,37.83181818181818,36.82954545454545
202,2018-11-30,34.52947368421052,36.52947368421052,35.52947368421052
203,2018-12-31,36.224999999999994,38.224999999999994,37.224999999999994
204,2019-01-31,37.05681818181818,39.04545454545455,38.05113636363636
205,2019-02-28,37.152499999999996,38.402499999999996,37.777499999999996
206,2019-03-31,40.32368421052632,41.63947368421052,40.98157894736842
207,2019-04-30,43.21947368421053,44.27473684210526,43.74710526315789
208,2019-05-31,44.72272727272727,46.095454545454544,45.40909090909091
209,2019-06-30,43.56333333333333,45.06333333333333,44.31333333333333
210,2019-07-31,42.483333333333334,43.983333333333334,43.233333333333334
211,2019-08-31,51.98571428571429,54.84285714285714,53.41428571428571
212,2019-09-30,57.38095238095238,61.05952380952381,59.220238095238095
213,2019-10-31,62.72727272727273,65.54545454545455,64.13636363636364
214,2019-11-30,63.75,66.75,65.25
215,2019-12-31,68.10526315789474,72.36842105263158,70.23684210526315
216,2020-01-31,73.11363636363636,77.47727272727273,75.29545454545455
217,2020-02-29,74.19166666666666,78.19166666666666,76.19166666666666
218,2020-03-31,78.11842105263158,82.4342105263158,80.27631578947368
219,2020-04-30,93.7375,101.0875,97.4125
220,2020-05-31,116.23684210526316,126.23684210526316,121.23684210526316
221,2020-06-30,115.85714285714286,125.85714285714286,120.85714285714286
222,2020-07-31,123.17391304347827,130.7826086956522,126.97826086956522
223,2020-08-31,128.68,133.4,131.04000000000002
224,2020-09-30,132.77272727272728,137.95454545454547,135.36363636363637
225,2020-10-31,164.61904761904762,170.61904761904762,167.61904761904762
226,2020-11-30,154.4,160.4,157.4
227,2020-12-31,147.05263157894737,153.05263157894737,150.05263157894737
228,2021-01-31,152.4,157.9,155.15
229,2021-02-28,144.61904761904762,149.38095238095238,147.0
230,2021-03-31,138.6153846153846,143.6153846153846,141.1153846153846
231,2021-04-30,141.25,146.25,143.75
232,2021-05-31,148.35,153.55,150.95
233,2021-06-30,157.0,162.0,159.5
234,2021-07-31,173.47826086956522,178.47826086956522,175.97826086956522
235,2021-08-31,175.87878787878788,180.87878787878788,178.37878787878788
236,2021-09-30,180.29545454545453,184.4318181818182,182.36363636363637
237,2021-10-31,185.31578947368422,189.31578947368422,187.31578947368422
238,2021-11-30,196.52380952380952,200.52380952380952,198.52380952380952
239,2021-12-31,196.5,200.5,198.5
240,2022-01-31,208.02380952380952,212.02380952380952,210.02380952380952
